antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Financial Accounting'}),frozenset({'Accounting'}),0.013816102906145784,0.018580276322058123,0.011910433539780848,0.8620689655172414,46.39699381078692,1.0,0.011653726530090669,7.115292996665081,0.9921545893719806,0.5813953488372094,0.8594576498158688,0.7515473032714413
frozenset({'Accounting'}),frozenset({'Financial Accounting'}),0.018580276322058123,0.013816102906145784,0.011910433539780848,0.6410256410256411,46.39699381078692,1.0,0.011653726530090669,2.7472265704757373,0.9969708737864078,0.5813953488372094,0.6359965316487056,0.7515473032714413
frozenset({'Accounting'}),frozenset({'Financial Statement'}),0.018580276322058123,0.019056693663649357,0.014768937589328252,0.7948717948717949,41.71089743589744,1.0,0.014414858955272832,4.7820986183897105,0.9945036016285624,0.6458333333333334,0.7908867884584252,0.7849358974358975
frozenset({'Financial Statement'}),frozenset({'Accounting'}),0.019056693663649357,0.018580276322058123,0.014768937589328252,0.775,41.71089743589744,1.0,0.014414858955272832,4.361865438568631,0.994986604834793,0.6458333333333334,0.770740291262136,0.7849358974358975
frozenset({'Artificial Intelligence (AI)'}),frozenset({'Machine Learning'}),0.026202953787517864,0.0533587422582182,0.019056693663649357,0.7272727272727273,13.629870129870131,1.0,0.01765853700609719,3.4710179450532,0.9515655577299414,0.31496062992125984,0.7119000777782861,0.5422077922077922
frozenset({'Machine Learning'}),frozenset({'Artificial Intelligence (AI)'}),0.0533587422582182,0.026202953787517864,0.019056693663649357,0.35714285714285715,13.629870129870131,1.0,0.01765853700609719,1.5147954052194168,0.9788626069451435,0.31496062992125984,0.33984484204640764,0.5422077922077922
frozenset({'Cloud Computing'}),frozenset({'Google Cloud Platform'}),0.034778465936160075,0.019056693663649357,0.012863268222963315,0.3698630136986301,19.408561643835615,1.0,0.012200505651526248,1.556714377446817,0.9826514569851194,0.31395348837209297,0.3576214015315321,0.522431506849315
frozenset({'Google Cloud Platform'}),frozenset({'Cloud Computing'}),0.019056693663649357,0.034778465936160075,0.012863268222963315,0.6749999999999999,19.408561643835615,1.0,0.012200505651526248,2.9699124125041223,0.9669023078445128,0.31395348837209297,0.6632897334649555,0.522431506849315
frozenset({'Data Science'}),frozenset({'Data Analysis'}),0.04621248213434969,0.07670319199618866,0.02191519771319676,0.4742268041237113,6.18262150220913,1.0,0.0183705528234253,1.756074321105288,0.8788711288711291,0.21698113207547168,0.43054801953336946,0.3799705449189985
frozenset({'Data Analysis'}),frozenset({'Data Science'}),0.07670319199618866,0.04621248213434969,0.02191519771319676,0.2857142857142857,6.18262150220913,1.0,0.0183705528234253,1.3353025250119104,0.9078947368421053,0.21698113207547168,0.2511060368203225,0.3799705449189985
frozenset({'Data Analysis'}),frozenset({'Data Visualization (DataViz)'}),0.07670319199618866,0.03668413530252501,0.02572653644592663,0.3354037267080745,9.143018472211018,1.0,0.02291274617260289,1.4494752730494715,0.964616060849291,0.2934782608695652,0.31009516437203183,0.5183512140033879
frozenset({'Data Visualization (DataViz)'}),frozenset({'Data Analysis'}),0.03668413530252501,0.07670319199618866,0.02572653644592663,0.7012987012987013,9.143018472211018,1.0,0.02291274617260289,3.0910371398388468,0.9245429900721691,0.2934782608695652,0.6764839907254768,0.5183512140033879
frozenset({'Microsoft Excel'}),frozenset({'Data Analysis'}),0.02429728442115293,0.07670319199618866,0.01095759885659838,0.4509803921568627,5.879551820728291,1.0,0.009093919584656683,1.6817191860069418,0.8505859375,0.12169312169312167,0.4053704040955907,0.29691876750700275
frozenset({'Python Programming'}),frozenset({'Data Analysis'}),0.06622201048118151,0.07670319199618866,0.01333968556455455,0.20143884892086333,2.6262120738192056,1.0,0.008260245980242865,1.156200507320088,0.6631377551020408,0.10294117647058824,0.13509811345969666,0.1876759461995621
frozenset({'SQL'}),frozenset({'Data Analysis'}),0.031919961886612676,0.07670319199618866,0.012386850881372083,0.38805970149253727,5.05923797163252,1.0,0.009938487916272207,1.5088021008842771,0.8287969412477287,0.12871287128712872,0.3372225559508957,0.2747751923611755
frozenset({'Data Science'}),frozenset({'Machine Learning'}),0.04621248213434969,0.0533587422582182,0.018580276322058123,0.4020618556701031,7.535069955817379,1.0,0.016114436398738843,1.5831758965681524,0.9093086400778708,0.22941176470588237,0.3683582461255896,0.3751380706921944
frozenset({'Machine Learning'}),frozenset({'Data Science'}),0.0533587422582182,0.04621248213434969,0.018580276322058123,0.3482142857142857,7.535069955817378,1.0,0.016114436398738843,1.4633452328897647,0.9161730736969791,0.22941176470588237,0.31663425859854427,0.3751380706921944
frozenset({'Python Programming'}),frozenset({'Data Science'}),0.06622201048118151,0.04621248213434969,0.014768937589328252,0.22302158273381298,4.826003115033747,1.0,0.011708654113065934,1.2275598609567167,0.8490125082290981,0.15121951219512195,0.1853757753038329,0.2713046057998962
frozenset({'Data Science'}),frozenset({'Python Programming'}),0.04621248213434969,0.06622201048118151,0.014768937589328252,0.3195876288659794,4.826003115033747,1.0,0.011708654113065934,1.3723706815655363,0.8312010570075086,0.15121951219512195,0.2713338943824953,0.2713046057998962
frozenset({'Data Visualization (DataViz)'}),frozenset({'Python Programming'}),0.03668413530252501,0.06622201048118151,0.01095759885659838,0.2987012987012987,4.510604503410259,1.0,0.008528301664101488,1.3314982443138708,0.8079387605900314,0.11917098445595854,0.2489663397826663,0.23208446230028962
frozenset({'Deep Learning'}),frozenset({'Machine Learning'}),0.022391615054787994,0.0533587422582182,0.01572177227251072,0.7021276595744682,13.158624620060793,1.0,0.01452698385605705,3.1780099367045542,0.9451680548171777,0.2619047619047619,0.6853376736018162,0.49838525835866265
frozenset({'Machine Learning'}),frozenset({'Deep Learning'}),0.0533587422582182,0.022391615054787994,0.01572177227251072,0.29464285714285715,13.158624620060792,1.0,0.01452698385605705,1.385976444479288,0.9760869896753138,0.2619047619047619,0.27848701615148985,0.49838525835866265
frozenset({'Financial Accounting'}),frozenset({'Financial Statement'}),0.013816102906145784,0.019056693663649357,0.011910433539780848,0.8620689655172414,45.237068965517246,1.0,0.011647144299072973,7.111838970938545,0.9915942028985507,0.5681818181818183,0.8593893922392859,0.7435344827586208
frozenset({'Financial Statement'}),frozenset({'Financial Accounting'}),0.019056693663649357,0.013816102906145784,0.011910433539780848,0.625,45.23706896551724,1.0,0.011647144299072973,2.6298237255836114,0.9968916949975717,0.5681818181818183,0.6197463768115942,0.7435344827586208
frozenset({'Management'}),frozenset({'Leadership'}),0.0252501191043354,0.02906145783706527,0.010004764173415913,0.39622641509433965,13.63408598824621,1.0,0.009270958901684393,1.6081169604573606,0.9506586603360796,0.22580645161290325,0.3781546836521192,0.37024435508815345
frozenset({'Leadership'}),frozenset({'Management'}),0.02906145783706527,0.0252501191043354,0.010004764173415913,0.3442622950819672,13.634085988246209,1.0,0.009270958901684393,1.4864935683658884,0.954390392074396,0.22580645161290325,0.3272759322468471,0.37024435508815345
frozenset({'Machine Learning'}),frozenset({'Python Programming'}),0.0533587422582182,0.06622201048118151,0.011910433539780848,0.22321428571428573,3.370696300102775,1.0,0.008376910350694461,1.2021049980012377,0.7429693004529443,0.11061946902654868,0.16812591107871722,0.2015352004110997
"frozenset({'Financial Accounting', 'Accounting'})",frozenset({'Financial Statement'}),0.011910433539780848,0.019056693663649357,0.010481181515007145,0.8799999999999999,46.17799999999999,1.0,0.010254208031638287,8.174527552802914,0.9901376347856579,0.5116279069767441,0.8776687712481787,0.7149999999999999
"frozenset({'Financial Accounting', 'Financial Statement'})",frozenset({'Accounting'}),0.011910433539780848,0.018580276322058123,0.010481181515007145,0.8799999999999999,47.362051282051276,1.0,0.010259882368722509,8.178497697316175,0.9906855439642325,0.5238095238095237,0.8777281553398057,0.722051282051282
"frozenset({'Accounting', 'Financial Statement'})",frozenset({'Financial Accounting'}),0.014768937589328252,0.013816102906145784,0.010481181515007145,0.7096774193548386,51.36596218020022,1.0,0.010277132353458542,3.396855645545497,0.9952303499208721,0.5789473684210525,0.705610098176718,0.7341490545050056
frozenset({'Financial Accounting'}),"frozenset({'Accounting', 'Financial Statement'})",0.013816102906145784,0.014768937589328252,0.010481181515007145,0.7586206896551724,51.36596218020022,1.0,0.010277132353458542,4.0816715442727824,0.9942687747035572,0.5789473684210525,0.7550023344227306,0.7341490545050056
frozenset({'Accounting'}),"frozenset({'Financial Accounting', 'Financial Statement'})",0.018580276322058123,0.011910433539780848,0.010481181515007145,0.5641025641025641,47.36205128205128,1.0,0.010259882368722509,2.266793711291091,0.9974183583406886,0.5238095238095237,0.5588482555695671,0.722051282051282
frozenset({'Financial Statement'}),"frozenset({'Financial Accounting', 'Accounting'})",0.019056693663649357,0.011910433539780848,0.010481181515007145,0.5499999999999999,46.17799999999999,1.0,0.010254208031638287,2.19575459213382,0.9973508764183849,0.5116279069767441,0.5445756991321118,0.7149999999999999
